timestamp,ID,yaw,heading,state,acceleration
2025-03-14 11:58:30.784244,98,112,281,DRIVING,10.18
2025-03-14 11:58:31.196522,98,122,302,DRIVING,9.67
2025-03-14 11:58:31.621553,98,134,88,DRIVING,9.46
2025-03-14 11:58:32.028037,98,145,109,DRIVING,9.08
2025-03-14 11:58:32.470926,98,151,159,DRIVING,9.52
2025-03-14 11:58:32.874049,98,152,152,DRIVING,9.73
2025-03-14 11:58:33.286067,98,149,140,DRIVING,9.59
2025-03-14 11:58:33.702510,98,143,142,DRIVING,9.84
2025-03-14 11:58:34.128908,98,135,172,DRIVING,9.69
2025-03-14 11:58:34.530121,98,124,180,DRIVING,9.63
2025-03-14 11:58:34.956769,98,109,154,DRIVING,9.55
2025-03-14 11:58:35.361656,98,91,130,DRIVING,9.9
2025-03-14 11:58:35.810635,98,71,113,DRIVING,9.32
2025-03-14 11:58:36.201612,98,52,98,DRIVING,9.63
2025-03-14 11:58:36.612270,98,33,81,DRIVING,9.74
2025-03-14 11:58:37.025373,98,17,65,DRIVING,9.62
2025-03-14 11:58:37.511091,98,3,11,STANDING,9.6
2025-03-14 11:58:37.881075,98,346,350,DRIVING,9.58
2025-03-14 11:58:38.732301,98,330,323,DRIVING,9.99
2025-03-14 11:58:38.732789,98,315,314,DRIVING,9.35
2025-03-14 11:58:39.109410,98,297,310,DRIVING,9.67
2025-03-14 11:58:39.528857,98,282,306,DRIVING,9.73
2025-03-14 11:58:39.954537,98,273,290,DRIVING,9.61
2025-03-14 11:58:40.371594,98,268,281,DRIVING,9.37
2025-03-14 11:58:40.779444,98,268,262,DRIVING,9.26
2025-03-14 11:58:41.204336,98,273,118,DRIVING,9.43
2025-03-14 11:58:41.617130,98,282,103,DRIVING,8.54
2025-03-14 11:58:42.034733,98,289,95,DRIVING,9.76
2025-03-14 11:58:42.447522,98,295,104,DRIVING,9.41
2025-03-14 11:58:42.865620,98,299,88,DRIVING,9.5
